STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 00:54,FM-15,FEW:02 50 BKN:07 75 OVC:08 90,10.00,,44,6.7,38,3.5,28,-2.2,53,17,220,23,29.13,8,,30.08,T,30.08,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 01:54,FM-15,BKN:07 65 BKN:07 75 OVC:08 95,10.00,,44,6.7,38,3.6,29,-1.7,55,10,230,,29.12,,,30.08,T,30.07,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 02:54,FM-15,BKN:07 65 BKN:07 95 BKN:07 120,10.00,,44,6.7,38,3.5,28,-2.2,53,10,230,,29.14,,,30.09,0.00,30.09,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 03:54,FM-15,OVC:08 70,10.00,,45,7.2,39,4.0,29,-1.7,54,11,230,,29.14,3,,30.09,0.00,30.09,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 04:54,FM-15,FEW:02 13 SCT:04 27 OVC:08 45,7.00,-RA:02 |RA:61 |,41,5.0,39,3.9,37,2.8,86,13,240,,29.16,,,30.12,T,30.11,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 05:54,FM-15,FEW:02 13 SCT:04 22 OVC:08 34,9.00,,41,5.0,39,4.2,38,3.3,89,11,230,,29.17,,,30.13,T,30.12,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 06:52,FM-16,FEW:02 9 BKN:07 60 OVC:08 80,10.00,,41,5.0,40,4.4,39,4.0,93,6,210,,29.18,,,,,30.13,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 06:54,FM-15,FEW:02 9 BKN:07 60 OVC:08 80,10.00,,41,5.0,40,4.7,40,4.4,96,6,220,,29.18,1,,30.14,T,30.13,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 07:13,FM-16,BKN:07 20 BKN:07 60 OVC:08 85,10.00,,41,5.0,40,4.7,40,4.4,96,7,220,,29.19,,,,,30.14,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:13723,GREENSBORO AIRPORT NC US,271.3,36.0969,-79.9432,2017-01-01 07:52,FM-16,FEW:02 7 SCT:04 20 OVC:08 75,10.00,,41,5.0,40,4.4,39,4.0,93,9,210,,29.20,,,,,30.15,,,,,,,,,,0731,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
