computerName,dateStamp,state
DMC0021,2017-08-31 00:00:46.393,offline
DMC0014,2017-08-31 00:00:46.450,offline
DMC0009,2017-08-31 00:00:46.480,offline
CRR028,2017-08-31 00:00:46.507,offline
CRR017,2017-08-31 00:00:46.510,offline
DMC0011,2017-08-31 00:00:46.540,offline
CRR020,2017-08-31 00:00:46.550,offline
CRR033,2017-08-31 00:00:46.557,offline
CRR019,2017-08-31 00:00:46.560,offline
DMC0020,2017-08-31 00:00:46.570,offline
DMC0018,2017-08-31 00:00:46.613,offline
RIS12,2017-08-31 00:00:46.640,offline
DMC0032,2017-08-31 00:00:47.317,offline
CRR006,2017-08-31 00:00:47.650,available
CRR003,2017-08-31 00:00:47.730,available
RIS21,2017-08-31 00:00:47.753,available
DMC0007,2017-08-31 00:00:47.853,available
CRR006,2017-08-31 00:00:48.127,offline
CRR003,2017-08-31 00:00:48.227,offline
RIS21,2017-08-31 00:00:48.293,offline
DMC0007,2017-08-31 00:00:48.430,offline
DMC0008,2017-08-31 00:00:48.913,available
CRR038,2017-08-31 00:00:49.103,available
DMC0008,2017-08-31 00:00:49.490,offline
CRR038,2017-08-31 00:00:49.710,offline
DDL0001,2017-08-31 00:00:52.307,available
DDL0001,2017-08-31 00:00:52.990,offline
JLPL0001,2017-08-31 00:04:37.427,available
JLPL0001,2017-08-31 00:04:38.050,offline
CITI010,2017-08-31 00:05:04.617,offline
RIS010,2017-08-31 00:05:08.133,available
RIS010,2017-08-31 00:05:08.587,offline
CITI016,2017-08-31 00:05:09.993,offline
TC202,2017-08-31 00:05:13.127,offline
CITI025,2017-08-31 00:05:14.807,offline
TC30002,2017-08-31 00:05:14.997,available
DMC028,2017-08-31 00:05:15.483,offline
TC30002,2017-08-31 00:05:15.617,offline
CITI007,2017-08-31 00:05:16.480,offline
RIS016,2017-08-31 00:05:18.637,offline
CITI002,2017-08-31 00:05:23.990,offline
CITI006,2017-08-31 00:05:28.963,offline
CITI001,2017-08-31 00:05:29.663,offline
RIS003,2017-08-31 00:05:30.670,offline
TC206,2017-08-31 00:05:35.000,restarted
TC601,2017-08-31 00:05:35.310,restarted
CITI010,2017-08-31 00:05:36.597,restarted
CITI008,2017-08-31 00:05:37.057,available
CITI008,2017-08-31 00:05:37.583,offline
INC014,2017-08-31 00:05:38.363,restarted
TL4003,2017-08-31 00:05:39.560,restarted
RIS004,2017-08-31 00:05:39.607,restarted
TL801,2017-08-31 00:05:39.613,restarted
TC30005,2017-08-31 00:05:39.753,restarted
TC4001,2017-08-31 00:05:39.760,restarted
TC4002,2017-08-31 00:05:40.080,restarted
TL5001,2017-08-31 00:05:40.510,restarted
TL7001,2017-08-31 00:05:42.740,restarted
CITI016,2017-08-31 00:05:44.337,restarted
CITI013,2017-08-31 00:05:44.850,restarted
TL4002,2017-08-31 00:05:45.130,restarted
INC002,2017-08-31 00:05:45.843,restarted
TL902,2017-08-31 00:05:46.690,restarted
