date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
7/1/2010,258496,259594,693996,695730
7/2/2010,259618,260250,695744,696834
7/3/2010,260252,260374,696836,696970
7/4/2010,260374,260374,696970,696970
7/5/2010,260734,260734,696970,696970
7/6/2010,260390,261598,697036,698838
7/7/2010,261610,262770,698846,700632
7/8/2010,262798,263972,700670,702330
7/9/2010,263992,264592,702340,703388
7/10/2010,264678,264900,703392,703730
7/11/2010,264908,265304,703732,704246
7/12/2010,265330,266664,704268,706274
7/13/2010,266682,268028,706290,708098
7/14/2010,268038,269310,708108,709804
7/15/2010,269326,270638,709812,711530
7/16/2010,270656,271340,711534,712450
7/17/2010,271342,271510,712452,712772
7/18/2010,271514,271912,712774,713160
7/19/2010,271928,273260,713172,715030
7/20/2010,273264,274426,715034,716764
7/21/2010,274460,275706,716774,718550
7/22/2010,275726,276922,718558,720184
7/23/2010,276946,277648,720200,721254
7/24/2010,277650,277878,721256,721570
7/25/2010,277880,278230,721572,722038
7/26/2010,278256,279450,722052,723828
7/27/2010,279464,280646,723842,725796
7/28/2010,280672,282042,725806,727798
7/29/2010,282062,283332,727812,729794
7/30/2010,283354,283954,729804,730808
7/31/2010,,,,
8/1/2010,,,,
8/2/2010,283968,284624,730820,731840
8/3/2010,284638,285304,731862,732848
8/4/2010,285316,286002,732878,733870
8/5/2010,286014,286622,733896,734894
8/6/2010,286650,287170,735000,735914
8/7/2010,287170,287170,735914,735914
8/8/2010,287170,287170,735914,735914
8/9/2010,287234,287974,735946,736984
8/10/2010,287986,288748,736992,738202
8/11/2010,288764,289672,738224,739498
8/12/2010,289694,290738,739508,740708
8/13/2010,290754,291334,740722,741666
8/14/2010,291334,291334,741666,741666
8/15/2010,291334,291334,741666,741666
8/16/2010,291360,292324,741678,743564
8/17/2010,292348,293408,743568,745398
8/18/2010,293424,294704,745416,747644
8/19/2010,294726,296224,747666,750564
8/20/2010,296246,297704,750584,753404
8/21/2010,297706,298398,753406,754874
8/22/2010,298402,299564,754876,757528
8/23/2010,299586,305418,757534,767090
8/24/2010,305432,310480,767150,776128
8/25/2010,310512,315018,776236,784700
8/26/2010,315036,319460,784714,792260
8/27/2010,319488,322382,792408,797632
8/28/2010,322390,323178,797642,799218
8/29/2010,323180,324430,799220,801668
8/30/2010,324446,329282,801788,810286
8/31/2010,329296,333936,810446,818748
9/1/2010,333964,338670,818880,826780
9/2/2010,338690,342902,826956,833930
9/3/2010,342914,345296,834050,838010
9/4/2010,345314,345728,838012,838546
9/5/2010,345736,346116,838548,839184
9/6/2010,346116,346116,839184,839184
9/7/2010,346162,350962,839204,847738
9/8/2010,350984,355698,848008,856022
9/9/2010,355712,360170,856218,863630
9/10/2010,360188,363202,863804,868654
9/11/2010,363212,363870,868656,870088
9/12/2010,363882,365176,870090,872544
9/13/2010,365194,370506,872832,881564
9/14/2010,370542,375620,881922,890144
9/15/2010,375650,380460,890488,898720
9/16/2010,380482,384854,899276,906276
9/17/2010,384872,387568,906564,910744
9/18/2010,387592,388378,910746,912232
9/19/2010,388390,389672,912234,914898
9/20/2010,389692,394846,915226,923722
9/21/2010,394860,399798,924066,932598
9/22/2010,399816,404492,935800,940800
9/23/2010,404518,408898,941202,948250
9/24/2010,408914,411634,948466,952708
9/25/2010,411666,412580,952712,954346
9/26/2010,412596,413632,954348,956682
9/27/2010,413648,418562,956938,964936
9/28/2010,418582,423170,965248,972866
9/29/2010,423198,427708,973268,981220
9/30/2010,427732,431904,981490,988450
10/1/2010,431914,434520,988722,993076
10/2/2010,434422,435216,993078,994458
10/3/2010,435218,436616,994460,997500
10/4/2010,436646,441670,997808,1004860
10/5/2010,441682,446472,6698,14884
10/6/2010,446500,451442,15664,23870
