Date,CLG-OPEN,CLG-CLOSE,CON-OPEN,CON-CLOSE
1/1/2017,,,,
1/2/2017,,,,
1/3/2017,1710647,1710872,3337038,3337880
1/4/2017,1710872,1711067,3337880,3338632
1/5/2017,1711067,1711258,3338632,3339526
1/6/2017,1711258,1711449,3339526,3340501
1/7/2017,,,,
1/8/2017,,,,
1/9/2017,,,,
1/10/2017,1711449,1711649,3340501,3341425
1/11/2017,1711649,1711912,3341425,3342508
1/12/2017,1711912,1712232,3342508,3343985
1/13/2017,1712232,1712544,3343985,3345318
1/14/2017,1712544,1712658,3345318,3345875
1/15/2017,1712658,1712880,3345875,3346750
1/16/2017,,,,
1/17/2017,1712880,1715260,3346750,3355192
1/18/2017,1715260,1717406,3355263,3362882
1/19/2017,1717406,1719465,3363014,3370185
1/20/2017,1719465,1720705,3370277,3374738
1/21/2017,1720705,1720951,3374738,3376121
1/22/2017,1720951,1721462,3376121,3378519
1/23/2017,1721462,1723873,3378654,3387652
1/24/2017,1723873,1726393,3387820,3396390
1/25/2017,1726393,1728685,3396572,3404888
1/26/2017,1728685,1730936,3405081,3412742
1/27/2017,1730936,1732261,3412918,3417676
1/28/2017,1732261,1732544,3417676,3418876
1/29/2017,1732544,1733016,3418876,3421459
1/30/2017,1733016,1735566,3421578,3430644
1/31/2017,1735566,1738056,3430859,3439380
2/1/2017,1738056,1740411,3439568,3447922
2/2/2017,1740411,1742600,3448125,3455920
2/3/2017,1742600,1743872,3455994,3460809
2/4/2017,1743872,1744162,3460809,3462393
2/5/2017,1744162,1744592,3462393,3464646
2/6/2017,1744592,1747204,3464810,3473954
2/7/2017,1747204,1749900,3474327,3483342
2/8/2017,1749900,1752401,3483632,3492204
2/9/2017,1752401,1754967,3492487,3500920
2/10/2017,1754967,1756339,3501091,3505785
2/11/2017,1756339,1756600,3505785,3507060
2/12/2017,1756600,1757173,3507060,3509798
2/13/2017,1757173,1759752,3509998,3519082
2/14/2017,1759752,1762238,3519373,3527804
2/15/2017,1762238,1764732,3528068,3537154
2/16/2017,1764732,1767410,3537487,3546636
2/17/2017,1767410,1768679,3546853,3551394
2/18/2017,1768679,1769000,3551394,3552671
2/19/2017,1769000,1769538,3552671,3555336
2/20/2017,1769538,1772057,3555592,3564394
2/21/2017,1772057,1774648,3564658,3573322
2/22/2017,1774648,1777211,3573618,3582578
2/23/2017,1777211,1779459,3582860,3590578
