dbID,computerName,requiresLogon,isDesktop,inJackson,location,is245,floor,numMonitors,largeMonitor,adjacentWindow,collaborativeSpace,roomIsolated,inQuietArea
187,BL001,1,1,1,Tower,1,0,1,0,0,0,0,0
188,BL002,1,1,1,Tower,1,0,1,0,0,0,0,0
105,CITI001,1,1,1,CITI Lab,1,1,1,0,1,0,0,0
106,CITI002,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
107,CITI003,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
108,CITI004,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
109,CITI005,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
110,CITI006,1,1,1,CITI Lab,1,1,1,0,1,0,0,0
111,CITI007,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
112,CITI008,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
113,CITI009,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
114,CITI010,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
115,CITI011,1,1,1,CITI Lab,1,1,1,0,1,0,0,0
116,CITI012,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
117,CITI013,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
118,CITI014,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
119,CITI015,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
120,CITI016,1,1,1,CITI Lab,1,1,1,0,1,0,0,0
121,CITI017,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
122,CITI018,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
123,CITI019,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
124,CITI020,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
125,CITI021,1,1,1,CITI Lab,1,1,1,0,1,0,0,0
126,CITI022,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
127,CITI023,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
128,CITI024,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
129,CITI025,1,1,1,CITI Lab,1,1,1,0,0,0,0,0
165,CRR001,1,1,1,Reading Room,0,1,2,0,0,0,0,0
166,CRR002,1,1,1,Reading Room,0,1,2,0,0,0,0,0
164,CRR003,1,1,1,Reading Room,0,1,2,0,0,0,0,0
163,CRR004,1,1,1,Reading Room,0,1,2,0,0,0,0,0
161,CRR005,1,1,1,Reading Room,0,1,2,0,0,0,0,0
162,CRR006,1,1,1,Reading Room,0,1,2,0,0,0,0,0
167,CRR007,1,1,1,Reading Room,0,1,2,0,0,0,0,0
168,CRR008,1,1,1,Reading Room,0,1,2,0,0,0,0,0
169,CRR009,1,1,1,Reading Room,0,1,2,0,0,0,0,0
170,CRR010,1,1,1,Reading Room,0,1,2,0,0,0,0,0
171,CRR011,1,1,1,Reading Room,0,1,2,0,0,0,0,0
172,CRR012,1,1,1,Reading Room,0,1,2,0,0,0,0,0
190,CRR013,1,1,1,Reading Room,0,1,2,0,0,0,0,0
191,CRR014,1,1,1,Reading Room,0,1,2,0,0,0,0,0
192,CRR015,1,1,1,Reading Room,0,1,2,0,0,0,0,0
193,CRR016,1,1,1,Reading Room,0,1,2,0,0,0,0,0
194,CRR017,1,1,1,Reading Room,0,1,2,0,0,0,0,0
